property_id,ticker,company,address,city,source_url,scrape_date,full_address,latitude,longitude,simplified_address,simplified_full_address
PSPN_055,PSPN,PSP Swiss Property AG,Chemin de Bossons 2,Lausanne,NA,2026-08-26,"Chemin de Bossons 2, Lausanne, Switzerland",46.5359337,6.6217524,Chemin de Bossons 2,"Chemin de Bossons 2, Lausanne, Switzerland"
PSPN_056,PSPN,PSP Swiss Property AG,Grand Pont 1,Lausanne,NA,2026-08-26,"Grand Pont 1, Lausanne, Switzerland",46.5201218,6.6315454,Grand Pont 1,"Grand Pont 1, Lausanne, Switzerland"
PSPN_057,PSPN,PSP Swiss Property AG,Place Saint-François 5,Lausanne,NA,2026-08-26,"Place Saint-François 5, Lausanne, Switzerland",46.5201173,6.6330104,Place Saint-François 5,"Place Saint-François 5, Lausanne, Switzerland"
PSPN_058,PSPN,PSP Swiss Property AG,Place Saint-François 15,Lausanne,NA,2026-08-26,"Place Saint-François 15, Lausanne, Switzerland",46.5190456,6.6331764,Place Saint-François 15,"Place Saint-François 15, Lausanne, Switzerland"
PSPN_059,PSPN,PSP Swiss Property AG,Rue Centrale 15,Lausanne,NA,2026-08-26,"Rue Centrale 15, Lausanne, Switzerland",46.5210922,6.6339676,Rue Centrale 15,"Rue Centrale 15, Lausanne, Switzerland"
PSPN_060,PSPN,PSP Swiss Property AG,"Rue de Sébeillon 1, 3, 5",Lausanne,NA,2026-08-26,"Rue de Sébeillon 1, 3, 5, Lausanne, Switzerland",46.5231735,6.6191087,Rue de Sébeillon 1,"Rue de Sébeillon 1, Lausanne, Switzerland"
PSPN_061,PSPN,PSP Swiss Property AG,Rue de Sébeillon 2,Lausanne,NA,2026-08-26,"Rue de Sébeillon 2, Lausanne, Switzerland",46.5236029,6.6184763,Rue de Sébeillon 2,"Rue de Sébeillon 2, Lausanne, Switzerland"
PSPN_062,PSPN,PSP Swiss Property AG,Rue du Grand-Chêne 2,Lausanne,NA,2026-08-26,"Rue du Grand-Chêne 2, Lausanne, Switzerland",46.5197101,6.631624,Rue du Grand-Chêne 2,"Rue du Grand-Chêne 2, Lausanne, Switzerland"
PSPN_063,PSPN,PSP Swiss Property AG,Rue Saint-Martin 7,Lausanne,NA,2026-08-26,"Rue Saint-Martin 7, Lausanne, Switzerland",46.5220921,6.6369097,Rue Saint-Martin 7,"Rue Saint-Martin 7, Lausanne, Switzerland"
PSPN_064,PSPN,PSP Swiss Property AG,Aarbergstrasse 107,Biel,NA,2026-08-26,"Aarbergstrasse 107, Biel, Switzerland",47.1343605,7.2411653,Aarbergstrasse 107,"Aarbergstrasse 107, Biel, Switzerland"
PSPN_065,PSPN,PSP Swiss Property AG,Bahnhofplatz 2,Biel,NA,2026-08-26,"Bahnhofplatz 2, Biel, Switzerland",47.1337575,7.2419907,Bahnhofplatz 2,"Bahnhofplatz 2, Biel, Switzerland"
PSPN_066,PSPN,PSP Swiss Property AG,Via Emilio Bossi 9,Lugano,NA,2026-08-26,"Via Emilio Bossi 9, Lugano, Switzerland",46.0070656,8.9547042,Via Emilio Bossi 9,"Via Emilio Bossi 9, Lugano, Switzerland"
PSPN_067,PSPN,PSP Swiss Property AG,Via Ginevra 2,Lugano,NA,2026-08-26,"Via Ginevra 2, Lugano, Switzerland",46.0082732,8.9520821,Via Ginevra 2,"Via Ginevra 2, Lugano, Switzerland"
PSPN_068,PSPN,PSP Swiss Property AG,Via Pessina 16,Lugano,NA,2026-08-26,"Via Pessina 16, Lugano, Switzerland",46.0045699,8.950676,Via Pessina 16,"Via Pessina 16, Lugano, Switzerland"
PSPN_069,PSPN,PSP Swiss Property AG,Baslerstrasse 2-16,Rheinfelden,NA,2026-08-26,"Baslerstrasse 2-16, Rheinfelden, Switzerland",47.5463996,7.7596899,Baslerstrasse 2-16,"Baslerstrasse 2-16, Rheinfelden, Switzerland"
PSPN_070,PSPN,PSP Swiss Property AG,Marktgasse 74,Winterthur,NA,2026-08-26,"Marktgasse 74, Winterthur, Switzerland",47.499537,8.7270495,Marktgasse 74,"Marktgasse 74, Winterthur, Switzerland"
PSPN_071,PSPN,PSP Swiss Property AG,Untertor 34,Winterthur,NA,2026-08-26,"Untertor 34, Winterthur, Switzerland",47.4992373,8.7241714,Untertor 34,"Untertor 34, Winterthur, Switzerland"
PSPN_072,PSPN,PSP Swiss Property AG,Kolinplatz 2,Zug,NA,2026-08-26,"Kolinplatz 2, Zug, Switzerland",47.1664662,8.5154214,Kolinplatz 2,"Kolinplatz 2, Zug, Switzerland"
PSPN_073,PSPN,PSP Swiss Property AG,Alfred Escher-Strasse 17,Zürich,NA,2026-08-26,"Alfred Escher-Strasse 17, Zürich, Switzerland",47.3645827,8.5331708,Alfred Escher-Strasse 17,"Alfred Escher-Strasse 17, Zürich, Switzerland"
PSPN_074,PSPN,PSP Swiss Property AG,Augustinergasse 25,Zürich,NA,2026-08-26,"Augustinergasse 25, Zürich, Switzerland",47.3721894,8.5388153,Augustinergasse 25,"Augustinergasse 25, Zürich, Switzerland"
