month,snb_target_lower,snb_target_upper,libor_3m_chf,snb_policy_rate,confederation_5y,confederation_8y,confederation_10y,confederation_bonds,cantons,mortgage_bond_institutions,commercial_banks,other_banks,AAA,AA,A,workers_short_time,registered_unemployed_total,registered_unemployed_sa,jobless_rate_total,jobless_rate_sa,job_vacancies_total,job_vacancies_sa,registered_job_seekers,labour_force,snb_core_inflation_trimmed_mean1,sfso_core_inflation_12,sfso_core_inflation_23,sfso_inflation_according_to_the_national_consumer_price_index,apartments_fso,apartments_fahrländer,apartments_iazi,apartments_wuest_asking,apartments_wuest_transaction,houses_fso,houses_fahrländer,houses_iazi,houses_wuest_asking,houses_wuest_transaction,apartment_buildings_fahrländer,apartment_buildings_iazi,apartment_buildings_wuest_transaction,single_family_houses_wuest_asking,commercial_office_wuest_asking,commercial_retail_wuest_asking,commercial_industrial_wuest_asking,agriculture_forestry_fishing,mining_quarrying,manufacturing_total,manufacturing_chemicals_pharmaceuticals,manufacturing_other,electricity_gas_steam,water_waste,construction,trade_total,retail_trade,transportation_storage,accommodation_food,information_communication,financial_insurance_total,financial_activities,insurance_activities,real_estate_professional_technical,public_administration,education,health_social_work,arts_entertainment_recreation,other_service_activities,households_as_employers,taxes_products,subsidies_products,gdp
2015-05-01,-1.25,-0.25,-0.7906842105263159,NA,-0.4393888888888889,-0.11694444444444445,0.0465,-0.11694444444444445,0.13677777777777778,0.19666666666666666,0.31805555555555554,0.6897222222222222,0.23172222222222222,0.19627777777777777,0.5862222222222222,7438,136349,140997.764096858,3.0345302474890663,3.13799133092464,9929,9944.45500925818,192798,4493249,-0.362517,-0.3,-0.4,-1.2,NA,209.8643825384072,179.2507604377705,181.73439450319182,190.438393894448,NA,174.75420117008622,164.93548167005676,159.41659044731773,161.03966677949393,131.7330454178081,127.7906392133478,131.07896975332798,153.81657667601604,130.038735336925,109.86450850851034,120.67245500183427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01,-1.25,-0.25,-0.7821363636363636,NA,-0.48054545454545455,-0.08868181818181818,0.12145454545454545,-0.08868181818181818,0.21622727272727274,0.2710909090909091,0.3957727272727273,0.7814545454545455,0.31395454545454543,0.27990909090909094,0.6949545454545455,7973,133256,142812.029535005,2.9656936439534065,3.17836891601167,10487,9617.41908208104,191090,4493249,-0.269274,-0.2,-0.3,-1,NA,211.09073242465308,179.1224453038563,181.7447711514757,190.70731973107397,NA,175.62822405714238,165.04123544286523,159.47779096781636,161.06455850090407,131.5109409476914,127.77251628140819,131.71441358623775,153.50520763106127,130.80867866952335,109.79360970314052,119.83363235985816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-01,-1.25,-0.25,-0.7619130434782608,NA,-0.5272173913043479,-0.16065217391304348,0.04578260869565218,-0.16065217391304348,0.16160869565217392,0.2062608695652174,0.33943478260869564,0.8108260869565217,0.246,0.23852173913043478,0.676,4386,133754,142858.073054108,2.9767769380241336,3.17939364264273,10352,9899.10286260886,190939,4493249,-0.393425,-0.4,-0.5,-1.3,NA,212.2775226371491,178.99826936781025,181.7548130691698,190.967570540712,NA,176.4740526575193,165.14357780364764,159.5370172779763,161.088647263559,131.29600113790102,127.75497796017629,132.32935923098918,153.203882748847,131.553785120425,109.72499795600842,119.02186851278451,1182.80819394936,152.870247119753,28908.5329472092,7687.1193359109,21691.9495653749,2710.9035585292,598.215563275734,8046.74302485226,27700.9365392221,6335.60795045517,6427.16522099197,3283.64826505541,7279.6462429529,14071.6646220729,7003.72423932657,5129.31768692821,29408.3621129455,11130.8679280838,7325.10690552689,11434.3978221418,1256.8758423894,2258.96857827526,560.006007668561,8667.23980485932,-3647.78284375834,168664.336343476
2015-08-01,-1.25,-0.25,-0.72855,NA,-0.5938095238095238,-0.31647619047619047,-0.13933333333333334,-0.31647619047619047,0.04376190476190476,0.0860952380952381,0.23542857142857143,0.7450952380952381,0.1210952380952381,0.14461904761904762,0.5514285714285714,4746,136983,143768.844949482,3.0486403045991888,3.19966342727683,10905,10682.3915150553,192669,4493249,-0.571865,-0.5,-0.7,-1.4,NA,212.3679372465354,179.64316223238274,181.921350231536,191.0957329141486,NA,175.10250511406934,164.8787982318503,159.9046868940344,161.40063188791586,130.8429761529585,127.73705201662732,136.94573251033134,153.26630023342506,131.2731197410628,109.90423600220504,117.66283776050754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-09-01,-1.25,-0.25,-0.7294545454545455,NA,-0.5376363636363637,-0.25472727272727275,-0.07372727272727272,-0.25472727272727275,0.05454545454545454,0.1134090909090909,0.2757272727272727,0.8459545454545454,0.1235,0.19095454545454546,0.6569545454545455,6534,138226,145294.538344197,3.0763040285548384,3.23361866533987,11342,11019.4204754069,196042,4493249,-0.598661,-0.6,-0.8,-1.4,NA,212.4583518559217,180.28805509695522,182.08788739390215,191.22389528758524,NA,173.73095757061938,164.61401866005298,160.2723565100925,161.71261651227272,130.38995116801598,127.71912607307836,141.56210578967352,153.3287177180031,130.99245436170057,110.08347404840164,116.30380700823059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-01,-1.25,-0.25,-0.7275909090909091,NA,-0.6701818181818182,-0.4037727272727273,-0.2215909090909091,-0.4037727272727273,-0.06395454545454546,-0.006136363636363636,0.1659090909090909,0.8120454545454545,0.021045454545454544,0.07718181818181818,0.6113636363636363,8346,141269,146006.777846479,3.144027851561309,3.24946999034505,9471,9839.18205612137,200920,4493249,-0.649582,-0.7,-0.9,-1.4,NA,212.54584986500524,180.91214496589635,182.2490523897404,191.347923390911,NA,172.40365349631298,164.35778036476523,160.62816581595516,162.014537116489,129.95153989226517,127.7017783857729,146.02956380194013,153.3891217353367,130.72084270425327,110.2569302221403,114.98861595763998,1184.10475394948,154.572239230171,29287.4851953832,8311.39207168262,21264.6479292585,2706.45567341519,628.912850088529,8086.40729815429,28091.8437616834,6293.07024784367,6356.14088932574,3333.10715494556,7359.1923309804,14143.4968155718,7049.07454155831,5133.36721115849,29391.375326415,11148.6407288712,7326.26626755257,11523.7942824439,1306.25866876266,2273.90499045796,564.997146878414,8767.5118394922,-3689.55259647074,169924.619754245
2015-11-01,-1.25,-0.25,-0.7836666666666667,NA,-0.8295714285714285,-0.5022857142857143,-0.28995238095238096,-0.5022857142857143,-0.15776190476190477,-0.09471428571428571,0.07414285714285715,0.6870952380952381,-0.07852380952380952,-0.023,0.5052380952380953,8501,148143,148107.060052391,3.2970129187142754,3.29621305323589,9465,10101.7443719448,210886,4493249,-0.751356,-0.8,-1,-1.4,NA,213.73877354031882,181.570758955247,182.3708109599883,192.171764360809,NA,172.28597932761778,164.48526682526025,160.66425917037841,162.61203757378226,132.91325461834043,127.85542933047839,144.91517095876733,153.13663291271538,130.8871207809155,110.90399410798452,114.21512282006309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-01,-1.25,-0.25,-0.7915714285714286,NA,-0.70345,-0.3745,-0.17265,-0.3745,-0.03219999999999999,0.0395,0.2014,0.80465,-0.034449999999999995,0.06559999999999999,0.5579,6558,158629,148451.075281353,3.530385251295889,3.30386932220656,8033,9904.57106018492,220209,4493249,-0.67445600000000006,-0.9,-1.1,-1.3,NA,214.89321580675133,182.20812733203792,182.4886418344217,192.96902981554902,NA,172.17210109984822,164.60864081928767,160.69918822304612,163.19026382277576,135.77943015970357,128.0041237930966,143.8367262718259,152.89228889082383,131.0480350486531,111.53018496525313,113.46658107402095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-01,-1.25,-0.25,-0.75206,NA,-0.65685,-0.36895,-0.19039999999999999,-0.36895,-0.0659,0.008749999999999997,0.1633,0.8210500000000001,-0.06344999999999999,0.046299999999999994,0.52795,8052,163644,148617.576518588,3.641997138373591,3.30757490890418,9391,10006.6999169632,222751,4493249,-0.653858,-0.9,-1.1,-1.3,NA,216.0861394820649,182.86674132138856,182.6104004046696,193.792870785447,NA,172.05442693115302,164.7361272797827,160.73528157746938,163.787764280069,138.74114488577882,128.15777473780207,142.72233342865312,152.63980006820253,131.21431312531533,112.17724885109735,112.69308793644406,1223.95444202215,159.065999645722,29698.7759842439,8410.05136490922,21647.8379230544,2484.55362375733,634.266948044297,8117.96231987011,28250.6184898225,6304.81171393497,6296.94893314463,3309.18911490704,7416.45181915915,14059.9680914047,7011.37508244689,5108.66012960552,29368.5381561854,11158.8822360667,7313.39538596113,11758.18335864,1384.30312944508,2246.10517664196,570.56487374297,8837.39564111691,-3695.29769154933,170489.373353801
2016-02-01,-1.25,-0.25,-0.775295238095238,NA,-0.7955714285714286,-0.5267619047619048,-0.35733333333333334,-0.5267619047619048,-0.19780952380952382,-0.10504761904761904,0.03204761904761905,0.7757619047619048,-0.22704761904761905,-0.07652380952380952,0.38661904761904764,8418,161417,149373.370340901,3.592433893603493,3.32439556189521,10645,9694.80795456838,222888,4493249,-0.303113,-0.7,-0.9,-0.8,NA,213.60310425702912,183.33145018475363,182.48474724634346,192.20424670435074,NA,172.8880297856685,164.62376389617367,160.89919659262424,164.0529590917749,139.1086443408015,127.99207936006839,142.8028879239807,152.27808993088956,131.2765302265764,113.06400430756766,113.7228268676616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
