property_id,ticker,company,report_date,address,city,report_property,target_rental_income_tchf,vacancy_rate_pct,ownership_status,year_construction,year_renovation,site_area_m2,commercial_area_m2,retail_pct,office_pct,hotel_gastronomy_pct,assisted_living_pct,storage_pct,other_pct,source_pdf_page,full_address,simplified_address,simplified_full_address,latitude,longitude,second_pass_address.x,second_pass_full_address.x,second_pass_address.y,second_pass_full_address.y,manual_geocode_address
SPSN_050,SPSN,Swiss Prime Site AG,2025-12-31,Schweizerhofquai 6/Gotthardgebäude,Luzern,"Lucerne, Schweizerhofquai 6/Gotthardgebäude",2269,NA,sole ownership,1889,2002,2479,7261,6.8,87.9,NA,NA,5.3,NA,3,"Schweizerhofquai 6/Gotthardgebäude, Luzern, Switzerland",Schweizerhofquai 6,"Schweizerhofquai 6, Luzern, Switzerland",47.0550358,8.3120768,NA,NA,NA,NA,NA
SPSN_051,SPSN,Swiss Prime Site AG,2025-12-31,"Weggisgasse 20, 22",Luzern,"Lucerne, Weggisgasse 20, 22",688,NA,sole ownership,1982,NA,228,1285,76.8,NA,NA,NA,23.2,NA,3,"Weggisgasse 20, 22, Luzern, Switzerland","Weggisgasse 20, 22","Weggisgasse 20, 22, Luzern, Switzerland",47.0532129,8.3064005,Weggisgasse 20,"Weggisgasse 20, Luzern, Switzerland",Weggisgasse 20,"Weggisgasse 20, Luzern, Switzerland",NA
SPSN_052,SPSN,Swiss Prime Site AG,2025-12-31,Chemin de Riantbosson 19/Riantbosson Centre,Meyrin,"Meyrin, Chemin de Riantbosson 19/Riantbosson Centre",2628,19.4,sole ownership,2018,NA,4414,7485,33.9,37.3,9.9,NA,15.9,3,3,"Chemin de Riantbosson 19/Riantbosson Centre, Meyrin, Switzerland",Chemin de Riantbosson 19,"Chemin de Riantbosson 19, Meyrin, Switzerland",46.2271886,6.0859862,NA,NA,NA,NA,NA
SPSN_053,SPSN,Swiss Prime Site AG,2025-12-31,Rue de Venise 5–7/Avenue de la Plantaud 4,Monthey,"Monthey, Rue de Venise 5–7/Avenue de la Plantaud 4",1397,NA,sole ownership,2021,NA,1785,3649,NA,NA,NA,100,NA,NA,3,"Rue de Venise 5–7/Avenue de la Plantaud 4, Monthey, Switzerland",Rue de Venise 5–7/Avenue de la Plantaud 4,"Rue de Venise 5–7/Avenue de la Plantaud 4, Monthey, Switzerland",46.251046,6.9489273,Rue de Venise 5,"Rue de Venise 5, Monthey, Switzerland",Rue de Venise 5,"Rue de Venise 5, Monthey, Switzerland",NA
SPSN_054,SPSN,Swiss Prime Site AG,2025-12-31,Genuastrasse 11,Münchenstein,"Münchenstein, Genuastrasse 11",1559,NA,sole ownership land lease,1993,NA,7550,9999,NA,24.6,NA,NA,74.7,0.7,3,"Genuastrasse 11, Münchenstein, Switzerland",Genuastrasse 11,"Genuastrasse 11, Münchenstein, Switzerland",47.5310963,7.6098676,NA,NA,NA,NA,NA
SPSN_055,SPSN,Swiss Prime Site AG,2025-12-31,Helsinkistrasse 12,Münchenstein,"Münchenstein, Helsinkistrasse 12",500,NA,sole ownership land lease,1998,NA,4744,6592,NA,1.4,NA,NA,98.6,NA,3,"Helsinkistrasse 12, Münchenstein, Switzerland",Helsinkistrasse 12,"Helsinkistrasse 12, Münchenstein, Switzerland",47.5320424,7.6088254,NA,NA,NA,NA,NA
SPSN_056,SPSN,Swiss Prime Site AG,2025-12-31,Spitalweidstrasse 1/shopping centre a1,Oftringen,"Oftringen, Spitalweidstrasse 1/shopping centre a1",3660,0.2,sole ownership,2020,2020,38640,23888,78.3,NA,0.5,NA,20.4,0.8,3,"Spitalweidstrasse 1/shopping centre a1, Oftringen, Switzerland",Spitalweidstrasse 1/shopping centre a1,"Spitalweidstrasse 1/shopping centre a1, Oftringen, Switzerland",47.3063401,7.9262871,Spitalweidstrasse 1,"Spitalweidstrasse 1, Oftringen, Switzerland",Spitalweidstrasse 1,"Spitalweidstrasse 1, Oftringen, Switzerland",NA
SPSN_057,SPSN,Swiss Prime Site AG,2025-12-31,Bahnhofquai 18,Olten,"Olten, Bahnhofquai 18",1703,0.7,sole ownership,1996,NA,2553,5134,NA,93.6,NA,NA,6.4,NA,3,"Bahnhofquai 18, Olten, Switzerland",Bahnhofquai 18,"Bahnhofquai 18, Olten, Switzerland",47.3505683,7.9064993,NA,NA,NA,NA,NA
SPSN_058,SPSN,Swiss Prime Site AG,2025-12-31,Bahnhofquai 20,Olten,"Olten, Bahnhofquai 20",2129,1.1,sole ownership,1999,NA,1916,7423,NA,84.8,NA,NA,14.4,0.8,3,"Bahnhofquai 20, Olten, Switzerland",Bahnhofquai 20,"Bahnhofquai 20, Olten, Switzerland",47.3504363,7.9062297,NA,NA,NA,NA,NA
SPSN_059,SPSN,Swiss Prime Site AG,2025-12-31,Frohburgstrasse 1,Olten,"Olten, Frohburgstrasse 1",309,8.5,sole ownership,1899,2009,379,1199,NA,78.3,NA,NA,21.7,NA,3,"Frohburgstrasse 1, Olten, Switzerland",Frohburgstrasse 1,"Frohburgstrasse 1, Olten, Switzerland",47.3520029,7.9041973,NA,NA,NA,NA,NA
