ticker,country,country_code,folder,year,debt_to_assets,dividend_per_share,dividend_yield,fa_total_assets,net_debt_ebitda,net_income,pe_ratio,profit_margin
ALLN,Switzerland,SW,SW_ALLN,2023,47.0166,3.6034,,6165.9195,23.8142,440.9511,,
ALLN,Switzerland,SW,SW_ALLN,2024,45.9109,3.675,,6259.086,8.8085,441.0037,,
ALLN,Switzerland,SW,SW_ALLN,2025,44.5923,3.7364,,6441.6534,8.6703,466.1904,,
ALLN,Switzerland,SW,SW_ALLN,2026,,7.585,,,,,,
ALLN,Switzerland,SW,SW_ALLN,2027,,7.585,,,,,,
CHAM,Switzerland,SW,SW_CHAM,2020,0.0,,,355.0206,,,,
CHAM,Switzerland,SW,SW_CHAM,2021,9.5586,0.0,,433.5061,,19.134,,
CHAM,Switzerland,SW,SW_CHAM,2022,4.1639,0.0,,871.2183,,18.1123,,
CHAM,Switzerland,SW,SW_CHAM,2023,2.074,0.0,,921.575,,20.5527,,
CHAM,Switzerland,SW,SW_CHAM,2024,0.571,0.0,,932.1209,,21.1965,,
CHAM,Switzerland,SW,SW_CHAM,2025,30.5531,0.0,,1904.6582,,150.0616,,
CHAM,Switzerland,SW,SW_CHAM,2026,,0.429,,,,,,
CHAM,Switzerland,SW,SW_CHAM,2027,,0.521,,,,,,
EPIC,Switzerland,SW,SW_EPIC,2019,51.6658,0.7193,,1208.5584,16.8992,54.7842,,113.669
EPIC,Switzerland,SW,SW_EPIC,2020,53.3372,0.9978,,1263.7732,17.2823,32.1232,,60.852
EPIC,Switzerland,SW,SW_EPIC,2021,52.0187,0.3701,,1444.0128,15.5704,71.6933,,128.3965
EPIC,Switzerland,SW,SW_EPIC,2022,39.0061,0.5976,0.6345,1583.0732,13.6813,56.1476,10.3589,89.8188
EPIC,Switzerland,SW,SW_EPIC,2023,39.52,3.0886,0.9659,1699.9995,14.3343,18.1477,38.3626,26.1579
EPIC,Switzerland,SW,SW_EPIC,2024,41.117,3.255,4.1902,1747.4221,8.7374,49.6402,17.6856,69.8357
EPIC,Switzerland,SW,SW_EPIC,2025,36.623,3.4161,3.822,1848.726,6.971,70.0257,13.7876,93.9448
EPIC,Switzerland,SW,SW_EPIC,2026,,,,,8.09397002183353,,22.1538461538462,85.7135614702155
EPIC,Switzerland,SW,SW_EPIC,2027,,,,,8.45522265777632,,21.0731707317073,77.3894006666093
HIAG,Switzerland,SW,SW_HIAG,2012,43.547,0.0,,817.8782,6.6269,36.2856,,
HIAG,Switzerland,SW,SW_HIAG,2013,45.6691,0.0,,907.2412,5.6423,37.0851,,
HIAG,Switzerland,SW,SW_HIAG,2014,39.2547,2.7173,,1033.2059,7.175,41.3667,,
HIAG,Switzerland,SW,SW_HIAG,2015,38.5438,3.2788,,1199.5933,6.9194,50.6419,,
HIAG,Switzerland,SW,SW_HIAG,2016,38.4298,3.3031,,1243.5507,8.0293,49.3911,,
HIAG,Switzerland,SW,SW_HIAG,2017,37.8413,3.4223,,1194.4592,6.7005,60.3139,,
HIAG,Switzerland,SW,SW_HIAG,2018,43.9028,3.3773,,1420.6409,6.3974,57.3548,,
HIAG,Switzerland,SW,SW_HIAG,2019,51.0426,0.0,,1500.8157,,63.3808,,
HIAG,Switzerland,SW,SW_HIAG,2020,48.2852,2.1489,,1562.9691,11.3443,81.971,,
HIAG,Switzerland,SW,SW_HIAG,2021,41.651,2.4982,,1834.4476,6.1019,86.7868,,
HIAG,Switzerland,SW,SW_HIAG,2022,41.0255,2.8884,,2024.7789,6.8024,97.2177,,
HIAG,Switzerland,SW,SW_HIAG,2023,38.9168,3.1916,,2158.6383,10.6402,140.7502,,
HIAG,Switzerland,SW,SW_HIAG,2024,37.7653,3.465,,2170.2476,7.8046,143.5624,,
HIAG,Switzerland,SW,SW_HIAG,2025,36.7997,3.9499,,2276.0562,5.3528,177.842,,
HIAG,Switzerland,SW,SW_HIAG,2026,,4.425,,,,,,
HIAG,Switzerland,SW,SW_HIAG,2027,,4.757,,,,,,
IREN,Switzerland,SW,SW_IREN,2013,34.9559,,,724.7767,10.8161,48.9348,,
IREN,Switzerland,SW,SW_IREN,2014,38.1605,,,777.5405,9.6711,75.5862,,
IREN,Switzerland,SW,SW_IREN,2015,37.2067,,,906.264,14.1084,147.4261,,
IREN,Switzerland,SW,SW_IREN,2016,30.0588,2.1562,,1025.0822,3.5468,148.5642,,
IREN,Switzerland,SW,SW_IREN,2017,35.6444,2.1164,,1057.8917,6.2076,171.1017,,
IREN,Switzerland,SW,SW_IREN,2018,38.3261,2.035,,1264.9043,6.6846,171.021,,
IREN,Switzerland,SW,SW_IREN,2019,42.1573,2.113,,1442.6893,4.5806,168.5955,,
IREN,Switzerland,SW,SW_IREN,2020,35.99,2.3358,,1437.8561,3.9255,166.9495,,
IREN,Switzerland,SW,SW_IREN,2021,35.6214,2.3131,,1754.3624,2.695,199.8496,,
IREN,Switzerland,SW,SW_IREN,2022,19.9705,2.49,,1617.6634,1.7125,226.6381,,
IREN,Switzerland,SW,SW_IREN,2023,24.6019,2.5738,,1737.9772,151.4191,238.3689,,
IREN,Switzerland,SW,SW_IREN,2024,26.5029,2.73,,2212.9434,1.9828,160.3437,,
IREN,Switzerland,SW,SW_IREN,2025,27.3897,3.2026,,2454.2551,3.7285,85.2006,,
IREN,Switzerland,SW,SW_IREN,2026,,3.305,,,,,,
IREN,Switzerland,SW,SW_IREN,2027,,3.305,,,,,,
ISN,Switzerland,SW,SW_ISN,2001,69.6384,,,823.853,15.8157,,,
ISN,Switzerland,SW,SW_ISN,2002,71.5321,,,784.0133,52.8955,,,
ISN,Switzerland,SW,SW_ISN,2003,57.8509,,,821.6524,10.7492,59.4277,,
ISN,Switzerland,SW,SW_ISN,2004,53.2173,,,789.9205,11.0472,47.7491,,
ISN,Switzerland,SW,SW_ISN,2005,47.9732,2.583,,749.8849,10.0049,45.7547,,
ISN,Switzerland,SW,SW_ISN,2006,47.2004,1.5258,,737.0418,10.2837,47.0045,,
ISN,Switzerland,SW,SW_ISN,2007,46.0031,2.4346,,734.4307,9.078,49.143,,
ISN,Switzerland,SW,SW_ISN,2008,45.3497,2.5228,,825.5279,8.0673,73.0696,,
ISN,Switzerland,SW,SW_ISN,2009,44.5899,2.6501,,839.0525,6.2599,64.1751,,
ISN,Switzerland,SW,SW_ISN,2010,42.8662,2.903,,980.3639,5.5672,105.2398,,
ISN,Switzerland,SW,SW_ISN,2011,42.5007,3.1214,,1016.9559,5.6868,82.1987,,
ISN,Switzerland,SW,SW_ISN,2012,42.5535,3.3191,,1049.1404,6.265,78.6973,,
ISN,Switzerland,SW,SW_ISN,2013,41.9862,3.2505,,1058.3367,6.3002,80.6509,,
ISN,Switzerland,SW,SW_ISN,2014,44.448,3.2937,,1101.8053,6.1625,85.4828,,
ISN,Switzerland,SW,SW_ISN,2015,47.1063,3.7472,,1293.2161,7.1953,92.9611,,
ISN,Switzerland,SW,SW_ISN,2016,44.408,3.6702,,1302.1633,8.1164,83.6383,,
ISN,Switzerland,SW,SW_ISN,2017,42.96,3.9626,,1207.2242,7.4708,92.9785,,
ISN,Switzerland,SW,SW_ISN,2018,40.4975,3.8103,,1292.2796,5.3629,152.2529,,
ISN,Switzerland,SW,SW_ISN,2019,37.5271,4.4957,,1237.5861,7.4906,85.583,,
ISN,Switzerland,SW,SW_ISN,2020,33.7435,4.6715,,1273.6784,7.078,101.7408,,
ISN,Switzerland,SW,SW_ISN,2021,30.0612,4.6262,,1374.8708,6.9854,152.6233,,
ISN,Switzerland,SW,SW_ISN,2022,27.115,9.96,,1474.8527,5.684,84.2567,,
ISN,Switzerland,SW,SW_ISN,2023,27.2368,5.6625,,1507.8091,3.9698,163.1272,,
ISN,Switzerland,SW,SW_ISN,2024,32.0831,5.775,,1731.8689,4.0732,90.579,,
ISN,Switzerland,SW,SW_ISN,2025,27.1077,6.4052,,1941.1607,1.7453,96.0137,,
ISN,Switzerland,SW,SW_ISN,2026,,6.501,,,,,,
ISN,Switzerland,SW,SW_ISN,2027,,7.003,,,,,,
MOBN,Switzerland,SW,SW_MOBN,2004,50.0359,0.0,,498.1389,9.2063,18.5444,,20.4558
MOBN,Switzerland,SW,SW_MOBN,2005,47.1228,0.0,0.0,657.5465,9.9994,23.292,11.5715,22.8648
MOBN,Switzerland,SW,SW_MOBN,2006,33.6832,0.0,0.0,714.2036,8.0847,26.0554,15.1724,28.2861
MOBN,Switzerland,SW,SW_MOBN,2007,34.8904,0.0,0.0,834.3287,7.6219,31.593,14.1304,28.9568
MOBN,Switzerland,SW,SW_MOBN,2008,40.1162,5.5443,0.0253,1018.0154,8.5499,28.3968,13.6451,22.6689
MOBN,Switzerland,SW,SW_MOBN,2009,43.4255,5.8241,5.9443,1313.7082,8.3631,41.4404,12.4982,24.2309
MOBN,Switzerland,SW,SW_MOBN,2010,45.465,6.3798,4.8534,1734.0907,9.0876,47.8953,15.3497,37.3693
MOBN,Switzerland,SW,SW_MOBN,2011,42.8847,7.2276,4.2627,2036.8488,6.7094,65.399,13.4541,35.2106
MOBN,Switzerland,SW,SW_MOBN,2012,42.1885,7.3778,4.1403,2087.3513,8.136,63.2098,17.7967,30.2837
MOBN,Switzerland,SW,SW_MOBN,2013,45.8237,7.6268,4.5053,2210.4684,9.057,66.2942,14.1629,25.7211
MOBN,Switzerland,SW,SW_MOBN,2014,46.705,7.728,5.0161,2301.4363,11.1559,51.176,19.92,22.9243
MOBN,Switzerland,SW,SW_MOBN,2015,46.2822,9.255,4.5643,2718.3546,10.4178,97.3688,13.3194,51.5888
MOBN,Switzerland,SW,SW_MOBN,2016,44.5099,9.0647,4.3427,2825.8507,6.8758,145.573,9.9824,57.6883
MOBN,Switzerland,SW,SW_MOBN,2017,47.3396,8.8973,3.7945,2730.2853,12.0673,82.5397,17.7408,28.5289
MOBN,Switzerland,SW,SW_MOBN,2018,45.7833,8.5552,4.0964,2989.9301,12.7156,78.4767,16.4095,48.4268
MOBN,Switzerland,SW,SW_MOBN,2019,46.1573,8.8828,3.8659,3191.5112,11.6823,92.7554,18.4463,51.6722
MOBN,Switzerland,SW,SW_MOBN,2020,47.7073,9.2303,3.6599,3345.0978,10.7795,90.2648,19.5355,35.4925
MOBN,Switzerland,SW,SW_MOBN,2021,47.4038,9.1408,3.3164,3633.4,8.7588,128.9593,14.4581,48.9914
MOBN,Switzerland,SW,SW_MOBN,2022,42.0048,9.96,3.9002,3904.4907,8.7287,134.7669,12.408,48.5419
MOBN,Switzerland,SW,SW_MOBN,2023,42.3576,10.2954,4.0958,4111.1669,19.7256,48.0146,40.591,19.3633
MOBN,Switzerland,SW,SW_MOBN,2024,42.3711,10.7626,3.7739,4222.8399,17.6148,131.4548,16.9757,47.6545
MOBN,Switzerland,SW,SW_MOBN,2025,43.7408,10.9422,3.1936,4768.024,7.3161,205.9725,13.8899,53.5203
MOBN,Switzerland,SW,SW_MOBN,2026,,,,,11.4745269286754,137.798,29.3949304987735,41.9960303580684
MOBN,Switzerland,SW,SW_MOBN,2027,,,,,11.5131192359959,138.07,29.3349653202774,41.2999582949661
PSPN,Switzerland,SW,SW_PSPN,2001,35.2018,,,1621.3952,3.4259,,,
PSPN,Switzerland,SW,SW_PSPN,2002,43.1696,,,2091.5871,5.9891,,,
PSPN,Switzerland,SW,SW_PSPN,2003,42.8644,,,1930.2741,11.4374,105.566,,
PSPN,Switzerland,SW,SW_PSPN,2004,39.113,4.2757,,2832.8162,20.5329,140.8749,,
PSPN,Switzerland,SW,SW_PSPN,2005,39.8273,0.0,,3029.5157,9.1467,183.0002,,
PSPN,Switzerland,SW,SW_PSPN,2006,38.5954,0.0,,3039.7759,13.456,123.7198,,
PSPN,Switzerland,SW,SW_PSPN,2007,40.6668,0.0,,3098.967,15.5373,119.0669,,
PSPN,Switzerland,SW,SW_PSPN,2008,40.4763,0.0,,3535.3054,12.7963,128.6763,,
PSPN,Switzerland,SW,SW_PSPN,2009,37.2357,0.0,,3577.3569,5.7428,196.1963,,
PSPN,Switzerland,SW,SW_PSPN,2010,35.6984,0.0,,4477.6156,4.9584,199.8721,,
PSPN,Switzerland,SW,SW_PSPN,2011,32.1752,0.0,,4973.8113,3.4173,242.8212,,
PSPN,Switzerland,SW,SW_PSPN,2012,28.4489,0.0,,5266.1703,3.5156,285.0123,,
PSPN,Switzerland,SW,SW_PSPN,2013,28.1082,2.641,,5338.9884,4.8637,295.7478,,
PSPN,Switzerland,SW,SW_PSPN,2014,28.8521,2.6761,,5558.4229,7.7893,303.9116,,
PSPN,Switzerland,SW,SW_PSPN,2015,28.9908,3.0915,,6252.4951,7.3298,281.3762,,
PSPN,Switzerland,SW,SW_PSPN,2016,31.9318,3.0738,,6563.2923,11.7,338.8333,,
PSPN,Switzerland,SW,SW_PSPN,2017,33.7352,3.062,,6308.8281,7.5551,284.3392,,
PSPN,Switzerland,SW,SW_PSPN,2018,32.9586,3.0309,,6769.6719,6.111,270.9035,,
PSPN,Switzerland,SW,SW_PSPN,2019,32.3053,3.2369,,7405.5124,5.1605,304.9328,,
PSPN,Switzerland,SW,SW_PSPN,2020,35.282,3.3635,,8007.1977,8.1176,326.347,,
PSPN,Switzerland,SW,SW_PSPN,2021,32.8098,3.4697,,8848.7055,4.0295,349.6185,,
PSPN,Switzerland,SW,SW_PSPN,2022,32.6068,3.7848,,9604.4295,7.3569,412.3943,,
