date,total_return_index,price,total_assets,market_cap,folder,country_code,country,ticker,monthly_return,monthly_log_return
2011-01-31,160.86105,153.47436,1741.9618,798.3091,SW_MOBN,SW,Switzerland,MOBN,-0.02228323879478933,-0.022535261112079052
2011-02-28,160.11519,152.76275,1741.9618,794.6076,SW_MOBN,SW,Switzerland,MOBN,-0.004636672457378532,-0.004647455166621545
2011-03-31,166.77564,159.11735,1741.9618,835.7255,SW_MOBN,SW,Switzerland,MOBN,0.04159786463732762,0.040755942390695764
2011-04-29,174.41177,159.28115,1741.9618,836.5857,SW_MOBN,SW,Switzerland,MOBN,0.045786842730748845,0.04476956163590349
2011-05-31,191.49518,174.88252,1741.9618,918.5282,SW_MOBN,SW,Switzerland,MOBN,0.09794872215332728,0.0934436408614037
2011-06-30,190.57682,174.04384,1812.5627,914.1232,SW_MOBN,SW,Switzerland,MOBN,-0.0047957342842781525,-0.0048072707164947374
2011-07-29,205.78437,187.9321,1812.5627,987.0679,SW_MOBN,SW,Switzerland,MOBN,0.07979748009227983,0.0767735051192745
2011-08-31,204.03179,186.33156,1812.5627,978.6615,SW_MOBN,SW,Switzerland,MOBN,-0.008516584617189293,-0.008553057957127116
2011-09-30,192.34701,175.66046,1812.5627,922.6141,SW_MOBN,SW,Switzerland,MOBN,-0.05726940885045406,-0.058974730539503493
2011-10-31,193.92491,177.10147,1812.5627,930.9806,SW_MOBN,SW,Switzerland,MOBN,0.008203402797891224,0.008169937782589417
2011-11-30,185.52587,169.43106,1812.5627,1058.1763,SW_MOBN,SW,Switzerland,MOBN,-0.04331078457120341,-0.044276689039720624
2011-12-30,184.95667,168.91125,2036.8488,1054.9302,SW_MOBN,SW,Switzerland,MOBN,-0.0030680357407837366,-0.00307275181095524
2012-01-31,191.00248,174.43257,2036.8488,1089.4135,SW_MOBN,SW,Switzerland,MOBN,0.03268771004581761,0.03216483082632118
2012-02-29,194.75571,177.8602,2036.8488,1110.8206,SW_MOBN,SW,Switzerland,MOBN,0.019650163704680645,0.019459591706081778
2012-03-30,197.9785,180.8034,2036.8488,1129.2023,SW_MOBN,SW,Switzerland,MOBN,0.016547858853535047,0.016412434978468036
2012-04-30,207.20082,181.72338,2036.8488,1134.948,SW_MOBN,SW,Switzerland,MOBN,0.046582431930739965,0.04553002896637631
2012-05-31,204.74078,179.56583,2036.8488,1121.4731,SW_MOBN,SW,Switzerland,MOBN,-0.011872732936095476,-0.011943776712210728
2012-06-29,205.48305,180.21683,2050.969,1125.5389,SW_MOBN,SW,Switzerland,MOBN,0.0036254135595263914,0.0036188575884140263
2012-07-31,211.46721,185.46518,2050.969,1158.3173,SW_MOBN,SW,Switzerland,MOBN,0.029122402066739772,0.028706402223442614
2012-08-31,206.92055,181.47757,2050.969,1133.4128,SW_MOBN,SW,Switzerland,MOBN,-0.021500543748602885,-0.021735047842228884
2012-09-28,201.00359,176.28816,2050.969,1101.0025,SW_MOBN,SW,Switzerland,MOBN,-0.028595323180805376,-0.02901213456777863
2012-10-31,201.56345,176.77918,2050.969,1104.0692,SW_MOBN,SW,Switzerland,MOBN,0.002785323386512495,0.0027814515611862337
2012-11-30,203.66758,178.62459,2050.969,1115.5946,SW_MOBN,SW,Switzerland,MOBN,0.01043904537256135,0.010384934787869797
2012-12-28,204.26104,179.14508,2086.6961,1126.0405,SW_MOBN,SW,Switzerland,MOBN,0.0029138658199798773,0.002909628741827391
2013-01-31,194.39582,170.49288,2086.6961,1071.5042,SW_MOBN,SW,Switzerland,MOBN,-0.04829712019482535,-0.049502393949423476
2013-02-28,196.76186,172.568,2086.6961,1084.5457,SW_MOBN,SW,Switzerland,MOBN,0.012171249361226044,0.012097775285787787
2013-03-28,197.22269,172.97216,2086.6961,1087.0858,SW_MOBN,SW,Switzerland,MOBN,0.002342069748679787,0.0023393313781290524
2013-04-30,200.67081,168.57005,2086.6961,1059.4197,SW_MOBN,SW,Switzerland,MOBN,0.017483383884481007,0.017332307866609234
2013-05-31,194.04027,163.00019,2086.6961,1024.4145,SW_MOBN,SW,Switzerland,MOBN,-0.033041875896150485,-0.03360008942635427
2013-06-28,183.7117,154.32385,2103.4067,969.8879,SW_MOBN,SW,Switzerland,MOBN,-0.05322900241274653,-0.0546980338486
2013-07-31,185.20555,155.57873,2103.4067,977.7745,SW_MOBN,SW,Switzerland,MOBN,0.00813149080869624,0.008098608372526146
2013-08-30,184.62321,155.08954,2103.4067,974.7001,SW_MOBN,SW,Switzerland,MOBN,-0.0031442902224041447,-0.003149243889475513
2013-09-30,181.73221,152.66101,2103.4067,959.4374,SW_MOBN,SW,Switzerland,MOBN,-0.015658919590879172,-0.015782815558913192
2013-10-31,181.62385,152.56998,2103.4067,959.7247,SW_MOBN,SW,Switzerland,MOBN,-0.0005962619394768165,-0.0005964397743213306
2013-11-29,183.70821,154.32092,2103.4067,970.7388,SW_MOBN,SW,Switzerland,MOBN,0.011476246098736542,0.011410893512777095
2013-12-30,178.70214,150.11565,2211.444,943.8695,SW_MOBN,SW,Switzerland,MOBN,-0.02725011582225967,-0.027628286184311995
2014-01-31,181.98148,152.8704,2211.444,961.6145,SW_MOBN,SW,Switzerland,MOBN,0.01835087145570835,0.01818452618590983
2014-02-28,189.75633,159.40154,2211.444,1002.6979,SW_MOBN,SW,Switzerland,MOBN,0.042723303492201437,0.04183585174579585
2014-03-31,190.26083,152.11807,2211.444,956.882,SW_MOBN,SW,Switzerland,MOBN,0.0026586728358417577,0.002655144817066045
2014-04-30,191.20374,152.87194,2211.444,961.6242,SW_MOBN,SW,Switzerland,MOBN,0.004955880829490722,0.004943640875271729
2014-05-30,191.23536,152.89722,2211.444,961.7832,SW_MOBN,SW,Switzerland,MOBN,0.0001653733342243946,0.00016535966156193342
2014-06-30,191.28348,152.9357,2227.2687,962.0253,SW_MOBN,SW,Switzerland,MOBN,0.00025162710494552876,0.0002515954521552458
2014-07-31,188.00422,150.31385,2227.2687,945.5328,SW_MOBN,SW,Switzerland,MOBN,-0.01714345640303072,-0.017292106822632793
2014-08-29,194.1292,155.21092,2227.2687,976.3373,SW_MOBN,SW,Switzerland,MOBN,0.03257894955762164,0.03205950739238031
2014-09-30,189.80198,151.75121,2227.2687,954.5743,SW_MOBN,SW,Switzerland,MOBN,-0.022290412776645674,-0.022542598623780417
2014-10-31,194.18185,155.25302,2227.2687,976.6021,SW_MOBN,SW,Switzerland,MOBN,0.023075997415833216,0.022813772984245625
2014-11-28,199.51914,159.5203,2227.2687,1003.445,SW_MOBN,SW,Switzerland,MOBN,0.027486039503691995,0.027115080438229747
2014-12-30,204.70024,163.66272,2301.7619,1029.3568,SW_MOBN,SW,Switzerland,MOBN,0.025967934705412254,0.025636493536431514
2015-01-30,252.83325,202.14621,2301.7619,1271.5786,SW_MOBN,SW,Switzerland,MOBN,0.23513900130258758,0.21118351540849167
2015-02-27,260.6194,208.37142,2301.7619,1310.7376,SW_MOBN,SW,Switzerland,MOBN,0.030795593538428978,0.030330924989137153
2015-03-31,271.61061,217.15915,2301.7619,1366.0159,SW_MOBN,SW,Switzerland,MOBN,0.04217341456545465,0.04130835421104046
2015-04-30,255.65476,195.87787,2301.7619,1232.1483,SW_MOBN,SW,Switzerland,MOBN,-0.05874531190073906,-0.06054151916409116
2015-05-29,246.96669,189.22123,2301.7619,1190.2754,SW_MOBN,SW,Switzerland,MOBN,-0.03398360351279983,-0.03457447132443466
2015-06-30,235.50186,180.4371,2605.7676,1135.0198,SW_MOBN,SW,Switzerland,MOBN,-0.0464225762591709,-0.047534657719729353
2015-07-31,249.47117,191.14012,2605.7676,1202.346,SW_MOBN,SW,Switzerland,MOBN,0.05931719605102059,0.057624545898371356
2015-08-31,237.90786,182.28053,2605.7676,1146.6157,SW_MOBN,SW,Switzerland,MOBN,-0.04635128780612208,-0.047459901557637345
2015-09-30,232.54099,178.16853,2605.7676,1121.4155,SW_MOBN,SW,Switzerland,MOBN,-0.022558607353283744,-0.022816945291717086
2015-10-30,253.0545,193.8856,2605.7676,1220.3407,SW_MOBN,SW,Switzerland,MOBN,0.08821459820911581,0.08453836998532765
2015-11-30,260.37075,199.49117,2605.7676,1255.6229,SW_MOBN,SW,Switzerland,MOBN,0.028911756163197966,0.028501696287503667
2015-12-30,265.83737,203.67959,2733.6679,1274.804,SW_MOBN,SW,Switzerland,MOBN,0.02099552273056804,0.02077815399227502
2016-01-29,251.28351,192.5287,2733.6679,1211.8002,SW_MOBN,SW,Switzerland,MOBN,-0.05474723136179094,-0.056302907214369716
2016-02-29,262.5716,201.17742,2733.6679,1266.2364,SW_MOBN,SW,Switzerland,MOBN,0.04492173004109978,0.04394198312946688
2016-03-31,276.83061,212.10241,2733.6679,1334.9996,SW_MOBN,SW,Switzerland,MOBN,0.05430522569843799,0.052881996145855883
2016-04-29,269.65269,197.73616,2733.6679,1244.5767,SW_MOBN,SW,Switzerland,MOBN,-0.025928924550648436,-0.02627100526137551
2016-05-31,274.51142,201.29907,2733.6679,1267.0021,SW_MOBN,SW,Switzerland,MOBN,0.01801847406009549,0.017858065370442374
2016-06-30,276.00579,202.39489,2714.7107,1273.8993,SW_MOBN,SW,Switzerland,MOBN,0.005443744380470683,0.005428980759381148
2016-07-29,290.55435,213.06334,2714.7107,1341.0479,SW_MOBN,SW,Switzerland,MOBN,0.05271106812650572,0.05136880625663802
2016-08-31,301.30272,220.94511,2714.7107,1390.6568,SW_MOBN,SW,Switzerland,MOBN,0.036992631499063844,0.03632482362818577
2016-09-30,305.40541,223.95362,2714.7107,1409.5927,SW_MOBN,SW,Switzerland,MOBN,0.013616505021926129,0.013524633457652629
2016-10-31,295.49678,216.68763,2714.7107,1363.8596,SW_MOBN,SW,Switzerland,MOBN,-0.0324441862375654,-0.03298216709878272
2016-11-30,305.31951,223.89063,2714.7107,1409.1962,SW_MOBN,SW,Switzerland,MOBN,0.03324141129388947,0.032700862053733945
2016-12-30,319.90763,234.58808,2825.8507,1476.5274,SW_MOBN,SW,Switzerland,MOBN,0.047779848723063845,0.04667349581913137
2017-01-31,326.63841,239.52377,2825.8507,1507.5932,SW_MOBN,SW,Switzerland,MOBN,0.021039760758441606,0.02082148138062935
2017-02-28,337.73213,247.65879,2825.8507,1558.796,SW_MOBN,SW,Switzerland,MOBN,0.03396330517283608,0.033399287229084085
2017-03-31,339.14243,239.45684,2825.8507,1507.172,SW_MOBN,SW,Switzerland,MOBN,0.004175794586082082,0.004167100151580609
2017-04-28,345.52867,243.96595,2825.8507,1535.5528,SW_MOBN,SW,Switzerland,MOBN,0.01883055446645221,0.018655454315830117
2017-05-31,351.13488,247.9243,2825.8507,1560.4672,SW_MOBN,SW,Switzerland,MOBN,0.016225021211698776,0.016094802204323404
2017-06-30,343.88702,242.80684,2926.4197,1528.2572,SW_MOBN,SW,Switzerland,MOBN,-0.020641241906813712,-0.02085724996016595
2017-07-31,338.26538,238.83759,2926.4197,1503.2743,SW_MOBN,SW,Switzerland,MOBN,-0.016347345706738237,-0.016482437851200193
2017-08-31,324.78768,229.32145,2926.4197,1443.3785,SW_MOBN,SW,Switzerland,MOBN,-0.03984356897534114,-0.04065905881097913
2017-09-29,319.81807,225.81258,2926.4197,1421.2932,SW_MOBN,SW,Switzerland,MOBN,-0.015301103785710257,-0.015419373665040453
2017-10-31,303.77624,214.48599,2926.4197,1350.0022,SW_MOBN,SW,Switzerland,MOBN,-0.05015923584305293,-0.05146092511369349
2017-11-30,300.98834,212.51755,2926.4197,1337.6125,SW_MOBN,SW,Switzerland,MOBN,-0.009177478791626337,-0.009219851297876926
2017-12-29,312.6053,220.71988,2730.2853,1389.2391,SW_MOBN,SW,Switzerland,MOBN,0.038596046610975154,0.03786984596115578
